seq,n_pairs,mean,median,p95_abs,frac_worse_on_final,mean_pos,mean_neg
alley_1,49,0.04229661449790001,0.006831054575741291,0.22092534601688385,0.584342746559633,0.08913524448871613,-0.023550469428300858
alley_2,49,0.029268981888890266,4.948842979501933e-05,0.29739445447921753,0.500900408543578,0.08570550382137299,-0.027371162548661232
ambush_2,20,18.070627212524414,21.301982879638672,35.1288948059082,0.998046875,18.107566833496094,-0.8057928681373596
ambush_4,32,14.803793907165527,15.252786636352539,29.875978469848633,0.9992003834575688,14.815929412841797,-0.3609454929828644
ambush_5,49,2.20401668548584,1.8878141641616821,6.03627872467041,0.893913059059633,2.4785192012786865,-0.10900431126356125
ambush_6,19,6.312605857849121,5.97956657409668,13.985607147216797,0.9849192768061926,6.419566631317139,-0.6729542016983032
ambush_7,49,0.1958162784576416,0.025611400604248047,1.3779292106628418,0.712982457712156,0.2975536286830902,-0.05691016837954521
bamboo_1,49,-0.043596986681222916,-0.013508265838027,0.2967285215854645,0.37198071961009177,0.0429481640458107,-0.09485835582017899
bamboo_2,49,0.1056450828909874,0.01013930607587099,1.0762367248535156,0.6419509747706422,0.24177061021327972,-0.13841623067855835
bandage_1,49,0.08553880453109741,0.05114293843507767,0.3624604344367981,0.7356158615252294,0.13523341715335846,-0.0527302511036396
bandage_2,49,0.18111927807331085,-0.00023773539578542113,1.1746585369110107,0.4970389549885321,0.4041191041469574,-0.039254821836948395
cave_2,49,2.126701593399048,1.399629831314087,7.410490036010742,0.8946432411123854,2.566615581512451,-1.6088541746139526
cave_4,49,0.7164949178695679,0.4042853116989136,3.0438220500946045,0.7779104250286697,1.0463712215423584,-0.4389582872390747
market_2,49,0.2748985290527344,0.07785172760486603,1.162975549697876,0.7985638259747706,0.3591685891151428,-0.05917768552899361
market_5,49,2.4411208629608154,1.6214053630828857,7.816812515258789,0.8451790065940367,3.0475966930389404,-0.8696756362915039
market_6,39,-0.018738334998488426,0.047441765666007996,3.0817575454711914,0.5506535801318807,0.670839250087738,-0.8637841939926147
mountain_1,49,0.13722124695777893,0.03733605146408081,0.8487797379493713,0.6660850594896789,0.23913432657718658,-0.06607244908809662
shaman_2,49,0.03204245865345001,0.011134922504425049,0.23199798166751862,0.600471706565367,0.07914997637271881,-0.038757871836423874
shaman_3,49,0.06874208152294159,0.006045972462743521,0.45133551955223083,0.5428052429759175,0.15871651470661163,-0.03808022290468216
sleeping_1,49,-0.0017226524651050568,-0.0014435271732509136,0.06796395778656006,0.47623996559633025,0.023330198600888252,-0.02450249157845974
sleeping_2,49,0.0033914113882929087,0.004018837586045265,0.03946530446410179,0.6083424419438074,0.014961407519876957,-0.014579695649445057
temple_2,49,0.7969582080841064,0.22337663173675537,3.638479232788086,0.8244584109805045,1.046495795249939,-0.3750344514846802
temple_3,49,2.083573818206787,1.9405431747436523,5.031324863433838,0.9375963123566514,2.2774949073791504,-0.8300328254699707
