tag,pass,threshold,precision,recall,F1,n_pairs
raft-raft-things-iter32,clean,0.5,0.8352001735418741,0.7298461260087593,0.7534525407890406,1041
raft-raft-things-iter32,clean,1.0,0.8727998482397579,0.6735627470909822,0.7269415793533462,1041
raft-raft-things-iter32,clean,2.0,0.8897953627907834,0.6613126668333564,0.7333056751483146,1041
raft-raft-things-iter32,final,0.5,0.8067441531083483,0.7211744417423005,0.7358260854736747,1041
raft-raft-things-iter32,final,1.0,0.8361185552373822,0.6569941042505865,0.698209146516173,1041
raft-raft-things-iter32,final,2.0,0.8383930705130929,0.6301055835652326,0.6870671372754013,1041
gmflow-gmflow_things-e9887eda,clean,0.5,0.8476193294442351,0.6952372471076722,0.7372488315019692,1041
gmflow-gmflow_things-e9887eda,clean,1.0,0.8589530032811161,0.6362874588685214,0.6966507265263885,1041
gmflow-gmflow_things-e9887eda,clean,2.0,0.8741160492123381,0.598539537528411,0.6758261523868341,1041
gmflow-gmflow_things-e9887eda,final,0.5,0.8241241260496615,0.6885502408697753,0.7248854379323346,1041
gmflow-gmflow_things-e9887eda,final,1.0,0.8206222187637643,0.6174322155588657,0.6720513123215691,1041
gmflow-gmflow_things-e9887eda,final,2.0,0.827319748078913,0.5718595922440352,0.6406785246826748,1041
gmflow-gmflow_with_refine_things-36579974,clean,0.5,0.7841873298853181,0.8020056381978328,0.7765165308809298,1041
gmflow-gmflow_with_refine_things-36579974,clean,1.0,0.8301851382511358,0.7371010480828084,0.7571626439282226,1041
gmflow-gmflow_with_refine_things-36579974,clean,2.0,0.8568088162096881,0.7099108721120124,0.7554621485930272,1041
gmflow-gmflow_with_refine_things-36579974,final,0.5,0.7578801933590907,0.7924433719816247,0.7593926263846013,1041
gmflow-gmflow_with_refine_things-36579974,final,1.0,0.7915247766106986,0.7188495845127004,0.7306899541048001,1041
gmflow-gmflow_with_refine_things-36579974,final,2.0,0.8053467978597485,0.6797358451533847,0.7133264391001066,1041
